Stname,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,CENSUS2010POP
Alabama,1,77,0,0,0,0,0,0,0,0,0,0,0.010786439288526465,0,0.010786439288526465,0.010786439288526465,0,0,0,0,0,92709
Alabama,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34339
Alabama,1,81,0,0,0,0,0,0,0.00713027729648406,0.00713027729648406,0,0,0,0.00713027729648406,0.00713027729648406,0,0.01426055459296812,0,0.00713027729648406,0.00713027729648406,0.00713027729648406,140247
Alabama,1,83,0,0,0,0,0,0,0,0,0,0,0,0.024159841511439684,0,0,0.012079920755719842,0,0,0,0,82782
Alabama,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0.08850340738118419,0,0,0,0,0,0,11299
Alabama,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21452
Alabama,1,89,0,0.0029867596942752777,0.008960279082825833,0.008960279082825833,0,0.008960279082825833,0.011947038777101111,0,0.0059735193885505555,0.0029867596942752777,0,0.008960279082825833,0.01493379847137639,0.008960279082825833,0.01493379847137639,0.0029867596942752777,0.0029867596942752777,0.008960279082825833,0.020907317859926944,334811
Alabama,1,91,0,0,0,0,0,0,0,0.047557901745375,0,0,0,0,0,0,0.09511580349075,0.047557901745375,0,0.047557901745375,0,21027
Alabama,1,93,0,0,0,0,0.03249285157265401,0,0,0,0,0,0,0,0,0.03249285157265401,0,0,0,0,0,30776
Alabama,1,95,0,0,0,0,0,0,0,0,0,0,0,0.01075049183500145,0,0.0215009836700029,0.03225147550500436,0.01075049183500145,0.01075049183500145,0.0215009836700029,0,93019
Alabama,1,97,0.0048427088176042155,0.007264063226406323,0.0048427088176042155,0,0,0,0.007264063226406323,0,0.007264063226406323,0,0,0,0.012106772044010538,0.012106772044010538,0.0024213544088021077,0.012106772044010538,0.009685417635208431,0.007264063226406323,0,412992
Alabama,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08670019074041962,0,0,0,0,23068
Alabama,1,101,0,0.008719802234885313,0.008719802234885313,0,0,0,0.0043599011174426565,0,0,0,0,0.008719802234885313,0,0.0043599011174426565,0.017439604469770626,0,0,0,0,229363
Alabama,1,103,0,0,0,0,0,0,0,0.008368901163277263,0.008368901163277263,0,0,0.008368901163277263,0.008368901163277263,0,0.016737802326554526,0,0,0.008368901163277263,0,119490
Alabama,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10591
Alabama,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05064316823660488,0,0,19746
Alabama,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32899
Alabama,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22913
Alabama,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03777362267928306,0.01888681133964153,0.01888681133964153,0.01888681133964153,0,52947
Alabama,1,115,0,0,0,0,0,0,0,0,0,0,0,0.02392544830308758,0,0,0.02392544830308758,0,0.01196272415154379,0,0.02392544830308758,83593
Alabama,1,117,0,0,0,0,0,0,0,0.005125970730707128,0,0,0,0.005125970730707128,0.010251941461414256,0.020503882922828513,0.030755824384242767,0.010251941461414256,0.020503882922828513,0.005125970730707128,0,195085
Alabama,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0.07265857734505558,0.07265857734505558,0,0,0,0,0,13763
Alabama,1,121,0,0,0,0,0.012151997180736654,0,0,0,0,0,0,0,0.012151997180736654,0,0,0.012151997180736654,0,0,0,82291
Alabama,1,123,0,0,0,0,0,0,0,0.024029219530949636,0,0,0,0.024029219530949636,0,0.024029219530949636,0.07208765859284891,0.024029219530949636,0.024029219530949636,0.024029219530949636,0,41616
Alabama,1,125,0.005137267795495644,0,0.005137267795495644,0,0,0,0,0,0,0,0,0,0,0,0.035960874568469504,0.020549071181982577,0.035960874568469504,0.020549071181982577,0.01541180338648693,194656
Alabama,1,127,0,0,0,0,0,0,0,0,0,0,0,0.029840502514062336,0,0,0.014920251257031168,0,0.014920251257031168,0.014920251257031168,0,67023
Alabama,1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17581
Alabama,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11670
Alabama,1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24484
Alabama,1,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3141
Alaska,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5561
